playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8478048,2024,Igor Shesterkin,NYR,G,other,61,4629,14.02,13,141,6.44,12,18.21,9,85.83,80,1.79,0,44.89,41,25.52,37,12.7,60,31,21,2.38,3.81,7.83,4,1,8,29,0,0
8478048,2024,Igor Shesterkin,NYR,G,all,61,210308,188.56,167,3589,131.78,206,464.73,326,1929.05,1751,60.59,4,1023.25,775,737.94,1133,178.9,1869,513,228,52.99,64.1,71.46,56,64,47,979,6,3
8478048,2024,Igor Shesterkin,NYR,G,5on5,61,172568,133.92,118,2899,98.01,152,381.9,267,1531.57,1385,47.92,4,813.34,599,605.11,945,128.5,1539,395,149,43.4,49.14,41.39,46,52,20,816,4,2
8478048,2024,Igor Shesterkin,NYR,G,4on5,61,18561,36.41,31,483,25.35,39,59.34,49,273.29,249,2.14,0,152.95,127,81,117,33.6,234,76,54,6.04,9.75,20.63,4,9,18,119,2,1
8478048,2024,Igor Shesterkin,NYR,G,5on4,61,14550,4.16,5,65,1.93,3,5.15,1,37.7,37,8.7,0,11.7,8,25.9,33,4.06,35,11,4,1.14,1.41,1.6,2,2,1,15,0,0
8477967,2024,Thatcher Demko,VAN,G,other,23,2870,7.79,10,76,3.02,8,8.64,6,42.13,41,1.06,0,20.6,19,13.56,12,6.83,28,14,13,0.97,1.72,5.09,1,4,5,21,0,0
8477967,2024,Thatcher Demko,VAN,G,all,23,78118,64.44,63,1205,43.51,74,156.15,134,647.55,569,20.25,2,345.32,297,256.83,319,60.87,645,163,80,18.27,20.48,25.7,20,24,19,317,0,0
8477967,2024,Thatcher Demko,VAN,G,5on5,23,63367,42.72,38,957,32.26,55,129.02,112,507.44,438,15.25,2,275.48,239,206.35,258,40.84,546,109,48,15.3,13.66,13.76,16,14,8,254,0,0
8477967,2024,Thatcher Demko,VAN,G,4on5,23,5762,11.57,12,139,7.07,9,15.21,15,76.15,67,0.35,0,42.1,35,22.52,30,10.87,53,33,15,1.4,4.31,5.86,2,5,5,38,0,0
8477967,2024,Thatcher Demko,VAN,G,5on4,23,6119,2.05,2,29,0.99,2,2.63,1,18.65,20,3.48,0,5.9,4,12.85,16,2.03,16,5,4,0.51,0.56,0.98,1,0,1,4,0,0
