Rk,Name,Team,Age,Pos,elc,Salary,GP,G,A,P,PIM_WITH_FIGHTS,PIM,FIGHTS,FIGHT_WINS,PIM_DRAWN,PLUS_MINUS,TOI,ES_TOI,PP_TOI,SH_TOI,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP_PERCENT,G60,A60,P60,ESG60,ESA60,ESP60,PPG60,PPA60,PPP60,GGP,AGP,PGP,SOG,SH_PERCENT,HITS,BS,FOW,FOL,FO_PERCENT
1,Nikita Kucherov,TBL,31,F,N,9500000,78,37,84,121,45,45,0,0,56,22,21.18,17.35,3.82,0,29,8,0,9,1,46,38,0,12,1,75,46,0,21,2,38.00%,1.343,3.049,4.393,1.286,2.039,3.325,1.607,7.632,9.239,0.474,1.077,1.551,265,14.00%,23,33,1,1,50.00%
2,Nathan MacKinnon,COL,29,F,N,12600000,79,32,84,116,41,36,1,1,50,25,22.77,18.88,3.82,0.05,23,9,0,5,1,55,29,0,16,2,78,38,0,21,3,32.80%,1.067,2.8,3.867,0.924,2.211,3.135,1.785,5.751,7.536,0.405,1.063,1.468,320,10.00%,37,58,756,758,49.93%
3,Leon Draisaitl,EDM,29,F,N,8500000,71,52,54,106,34,34,0,0,58,32,21.52,18.18,3.27,0.05,36,16,0,11,6,37,17,0,13,3,73,33,0,24,9,31.10%,2.042,2.121,4.163,1.673,1.72,3.393,4.123,4.38,8.503,0.732,0.761,1.493,240,21.70%,22,27,650,546,54.35%
4,David Pastrnak,BOS,28,F,N,11250000,82,43,63,106,42,42,0,0,68,0,20.18,16.7,3.45,0.02,34,9,0,4,3,49,14,0,15,3,83,23,0,19,6,21.70%,1.559,2.284,3.842,1.489,2.146,3.634,1.908,2.968,4.876,0.524,0.768,1.293,319,13.50%,58,24,3,5,37.50%
5,Mitch Marner,TOR,27,F,N,10903000,81,27,75,102,14,14,0,0,36,18,21.3,16.18,2.97,2.13,20,6,1,7,3,47,27,1,12,2,67,33,2,19,5,32.40%,0.938,2.606,3.545,0.915,2.15,3.065,1.492,6.712,8.203,0.333,0.926,1.259,173,15.60%,49,40,10,24,29.41%
6,Connor McDavid,EDM,27,F,N,12500000,67,26,74,100,37,37,0,0,44,20,22.02,18.73,3.22,0.07,17,9,0,3,0,52,22,0,18,9,69,31,0,21,9,31.00%,1.057,3.008,4.065,0.812,2.485,3.298,2.5,6.11,8.61,0.388,1.104,1.493,196,13.30%,40,18,370,406,47.68%
7,Kyle Connor,WPG,28,F,N,7142857,82,41,56,97,25,20,1,1,26,17,20.38,16.75,2.83,0.78,30,9,2,8,2,37,19,0,18,5,67,28,2,26,7,28.90%,1.471,2.009,3.48,1.31,1.615,2.925,2.319,4.897,7.216,0.5,0.683,1.183,267,15.40%,21,46,1,7,12.50%
8,Jack Eichel,VGK,28,F,N,10000000,77,28,66,94,8,8,0,0,30,32,20.53,16.2,2.77,1.55,22,5,1,3,0,36,29,1,11,0,58,34,2,14,0,36.20%,1.063,2.505,3.567,1.058,1.731,2.789,1.407,8.16,9.567,0.364,0.857,1.221,233,12.00%,22,55,572,682,45.61%
9,Cale Makar,COL,26,D,N,9000000,80,30,62,92,14,14,0,0,52,28,25.7,19.92,3.63,2.13,16,12,2,4,1,38,23,1,11,0,54,35,3,15,1,38.00%,0.875,1.808,2.683,0.602,1.43,2.032,2.469,4.732,7.201,0.375,0.775,1.15,246,12.20%,51,128,0,0,0.00%
10,Sidney Crosby,PIT,37,F,N,8700000,80,33,58,91,31,31,0,0,36,-20,20.37,17.15,3.15,0.07,21,12,0,10,4,43,15,0,5,0,64,27,0,15,4,29.70%,1.215,2.135,3.35,0.918,1.88,2.798,2.856,3.57,6.426,0.413,0.725,1.138,227,14.50%,67,39,1017,765,57.07%
