name,age,pos,elc,salary,gp,evo,ppo,evd,shd,pim_dif,goals_attributed,wins_attributed,gaa,waa
"Nikita Kucherov",31,F,N,9500000,78,25.960000,9.560000,2.2532000,0,2.620000,40.3932,6.7322,31.58247140676117,5.263745234460197
"Nathan MacKinnon",29,F,N,12600000,79,26.420000,8.280000,3.7948000,0.0001,3.760000,42.2549,7.042483333333333,33.44417140676117,5.574028567793531
"Leon Draisaitl",29,F,N,8500000,71,26.380000,8.500000,2.0128000,0.0001,7.000000,43.892900000000004,7.315483333333334,35.08217140676118,5.847028567793531
"David Pastrnak",28,F,N,11250000,82,29.484000,5.580000,1.4632000,0.00004,7.480000,44.007239999999996,7.33454,35.19651140676116,5.866085234460197
"Mitch Marner",27,F,N,10903000,81,21.108000,6.900000,2.6356000,0.38426,6.760000,37.78786,6.297976666666667,28.97713140676117,4.829521901126864
"Connor McDavid",27,F,N,12500000,67,21.376000,7.020000,1.3360000,0.00014000000000000001,1.500000,31.232139999999998,5.205356666666666,22.421411406761166,3.7369019011268634
"Kyle Connor",28,F,N,7142857,82,24.412000,6.480000,2.9724000,0.76156,1.520000,36.14596000000001,6.024326666666668,27.335231406761178,4.555871901126865
"Jack Eichel",28,F,N,10000000,77,20.448000,6.920000,3.6928000,0.3831,6.880000,38.3239,6.387316666666667,29.51317140676117,4.918861901126864
"Cale Makar",26,D,N,9000000,80,18.696000,8.220000,8.0364000,0.76426,11.880000,47.59666,7.932776666666666,38.785931406761165,6.464321901126864
"Sidney Crosby",37,F,N,8700000,80,21.492000,6.780000,2.1268000,0.00014000000000000001,0.980000,31.37894,5.229823333333333,22.56821140676117,3.7613685677935305
"Brandon Hagel",26,F,N,6500000,82,25.248000,1.980000,4.0196000,1.14374,-2.440000,29.95134,4.99189,21.140611406761167,3.523435234460197
"Clayton Keller",26,F,N,7150000,81,18.748000,8.260000,1.6604000,0.000059999999999999995,7.760000,36.42846,6.07141,27.61773140676117,4.602955234460198
"Artemi Panarin",33,F,N,11642857,80,22.872000,5.960000,0.5592000,0,2.240000,31.6312,5.271866666666667,22.82047140676117,3.8034119011268643
"Nick Suzuki",25,F,N,7875000,82,20.272000,5.500000,4.5132000,0.76124,4.960000,36.00644,6.001073333333333,27.195711406761166,4.532618567793531
"Mikko Rantanen",28,F,N,9250000,82,20.812000,6.440000,2.8152000,0.00004,-7.600000,22.467239999999997,3.7445399999999993,13.656511406761165,2.276085234460197
"Jesper Bratt",26,F,N,7875000,81,16.580000,6.760000,2.6180000,0.76306,1.560000,28.281059999999997,4.713509999999999,19.470331406761165,3.245055234460197
"Mark Scheifele",31,F,N,8500000,82,21.576000,6.260000,3.7732000,0.00026000000000000003,-2.180000,29.429460000000002,4.90491,20.61873140676117,3.4364552344601975
"William Nylander",28,F,N,11500000,82,21.868000,7.320000,1.7456000,0.00004,0.120000,31.053639999999998,5.175606666666666,22.242911406761166,3.7071519011268634
"Martin Necas",25,F,N,6500000,79,15.924000,8.580000,1.4648000,0.0001,9.920000,35.8889,5.981483333333333,27.078171406761168,4.513028567793531
"Brayden Point",28,F,N,9500000,77,18.924000,8.140000,2.9144000,0.00004,5.940000,35.91844,5.986406666666666,27.107711406761165,4.517951901126864
"Matt Duchene",33,F,N,3000000,82,18.492000,6.140000,1.4276000,0.00014000000000000001,1.680000,27.739739999999998,4.62329,18.929011406761166,3.1548352344601973
"Dylan Strome",27,F,N,5000000,82,16.544000,7.560000,3.2732000,0.00004,-2.600000,24.777239999999995,4.1295399999999995,15.966511406761164,2.661085234460197
"Zach Werenski",27,D,N,9583333,81,19.708000,5.300000,8.0116000,0.38316,0.760000,34.16275999999999,5.693793333333332,25.35203140676116,4.225338567793529
"Sam Reinhart",29,F,Y,8625000,79,17.088000,7.480000,3.8328000,1.9031,-1.500000,28.8039,4.80065,19.993171406761167,3.3321952344601975
