Group_1,Group_2,Total_Absolute_Difference
Eagles (Pop),Wisin & Yandel (Pop),5.1719
David Bowie (Rock),The Rolling Stones (Rock),5.546899999999999
Bryan Adams (Rock),David Bowie (Rock),6.0120000000000005
Lynyrd Skynyrd (Rock),The Rolling Stones (Rock),6.110499999999999
Pink Floyd (Pop),Prince (Pop),6.538
Elvis Presley (Pop),The Beatles (Pop),6.583300000000001
WizTheMc (Rap/Hip Hop),Yung Beef (Rap/Hip Hop),6.8934999999999995
Eagles (Pop),Prince (Pop),7.1355
Anu Malik (Pop),Pink Floyd (Pop),7.2346
Nelly Furtado (Pop),Prince (Pop),7.285900000000002
Elvis Presley (Pop),Pink Floyd (Pop),7.5213
Britney Spears (Pop),Nelly Furtado (Pop),7.6047
David Bowie (Rock),Lynyrd Skynyrd (Rock),7.653600000000001
David Bowie (Pop),Wisin & Yandel (Pop),7.910299999999999
Nelly Furtado (Pop),Pink Floyd (Pop),7.9159
Bryan Adams (Rock),Lynyrd Skynyrd (Rock),7.936200000000001
Anu Malik (Pop),Prince (Pop),8.1446
AC/DC (Rock),Aerosmith (Rock),8.1872
Britney Spears (Pop),Pink Floyd (Pop),8.262
David Bowie (Pop),Prince (Pop),8.2631
David Bowie (Rock),Elvis Presley (Rock),8.330800000000002
Bryan Adams (Rock),The Rolling Stones (Rock),8.3365
Elton John (Pop),The Beatles (Pop),8.337
Eagles (Pop),Pink Floyd (Pop),8.3529
David Guetta (Dance),Tiësto (Dance),8.4381
AC/DC (Rock),Metallica (Rock),8.530400000000002
Pink Floyd (Pop),The Beatles (Pop),8.5544
Anu Malik (Pop),Elvis Presley (Pop),8.659500000000001
The Beatles (Pop),Wisin & Yandel (Pop),8.678799999999999
Ariana Grande (Pop),Mariah Carey (Pop),8.7117
Pink Floyd (Pop),Wisin & Yandel (Pop),8.715799999999998
Britney Spears (Pop),Prince (Pop),8.7402
Billy Joel (Pop),Britney Spears (Pop),8.8849
David Bowie (Pop),Eagles (Pop),8.886
Foreigner (Rock),The Cranberries (Rock),8.953600000000002
Anu Malik (Pop),Wisin & Yandel (Pop),8.9744
Bon Jovi (Rock),Bruce Springsteen (Rock),9.020699999999998
Prince (Pop),Wisin & Yandel (Pop),9.0322
Aerosmith (Rock),Scorpions (Rock),9.085500000000001
David Bowie (Pop),Pink Floyd (Pop),9.095900000000002
Jennifer Lopez (Pop),Prince (Pop),9.1749
Pink Floyd (Rock),Tears For Fears (Rock),9.1924
Anu Malik (Pop),Eagles (Pop),9.237300000000001
Foreigner (Rock),The Rolling Stones (Rock),9.255499999999998
Enrique Iglesias (Pop),Nelly Furtado (Pop),9.289
Elton John (Pop),Elvis Presley (Pop),9.4783
Britney Spears (Pop),Jennifer Lopez (Pop),9.509700000000002
Bruce Springsteen (Rock),Fleetwood Mac (Rock),9.521299999999998
Christina Aguilera (Dance),Flo Rida (Dance),9.5453
David Bowie (Pop),Elvis Presley (Pop),9.6118
Bryan Adams (Rock),Elvis Presley (Rock),9.707000000000003
Bon Jovi (Rock),The Cranberries (Rock),9.728699999999998
Aerosmith (Rock),Bon Jovi (Rock),9.745899999999999
Aerosmith (Rock),Nirvana (Rock),9.831999999999999
Céline Dion (Pop),Elton John (Pop),9.9213
AC/DC (Rock),Guns N' Roses (Rock),9.953399999999998
Anu Malik (Pop),Nelly Furtado (Pop),9.9563
Billy Joel (Pop),Prince (Pop),9.9931
A.R. Rahman (Films/Games),Sonu Nigam (Films/Games),10.026900000000001
David Bowie (Pop),The Beatles (Pop),10.043900000000002
Scorpions (Rock),blink-182 (Rock),10.048
Billy Joel (Rock),Bruce Springsteen (Rock),10.061799999999998
Demi Lovato (Pop),Nelly Furtado (Pop),10.1252
Scorpions (Rock),The Rolling Stones (Rock),10.221400000000001
Ariana Grande (Pop),The Beatles (Pop),10.276299999999999
Bastille (Alternative),Mac DeMarco (Alternative),10.2854
Jennifer Lopez (Pop),Maroon 5 (Pop),10.307500000000001
David Guetta (Pop),Meghan Trainor (Pop),10.3469
The Cranberries (Rock),The Rolling Stones (Rock),10.360100000000001
David Bowie (Rock),The Cranberries (Rock),10.402
5 Seconds of Summer (Pop),Ariana Grande (Pop),10.4238
Fleetwood Mac (Rock),Pink Floyd (Rock),10.473700000000001
Metallica (Rock),The Rolling Stones (Rock),10.494299999999999
Bee Gees (Pop),Pink Floyd (Pop),10.5122
Ariana Grande (Pop),Christina Aguilera (Pop),10.542300000000001
AC/DC (Rock),blink-182 (Rock),10.5483
Black Eyed Peas (Pop),The Beatles (Pop),10.612499999999999
Enrique Iglesias (Pop),Prince (Pop),10.612900000000003
Billy Joel (Pop),Jennifer Lopez (Pop),10.623199999999999
Céline Dion (Pop),Elvis Presley (Pop),10.6712
Aerosmith (Rock),Guns N' Roses (Rock),10.6742
Bryan Adams (Rock),The Cranberries (Rock),10.685599999999999
Elvis Presley (Rock),Tears For Fears (Rock),10.7016
Bon Jovi (Rock),Fleetwood Mac (Rock),10.704400000000001
Metallica (Rock),The Beatles (Rock),10.728500000000002
Céline Dion (Pop),Prince (Pop),10.7653
Jennifer Lopez (Pop),Mariah Carey (Pop),10.778500000000001
Elvis Presley (Pop),Wisin & Yandel (Pop),10.814300000000001
Black Eyed Peas (Pop),Foreigner (Pop),10.832099999999999
Anu Malik (Pop),Billy Joel (Pop),10.8545
Bryan Adams (Rock),Foreigner (Rock),10.893600000000001
David Bowie (Rock),Foreigner (Rock),10.924600000000002
Foreigner (Rock),Metallica (Rock),10.9254
Billy Joel (Pop),Pink Floyd (Pop),10.9631
Fleetwood Mac (Rock),Nirvana (Rock),10.9743
Bruce Springsteen (Rock),Lynyrd Skynyrd (Rock),10.982399999999998
Aerosmith (Rock),Metallica (Rock),10.9954
Céline Dion (Pop),David Bowie (Pop),11.012799999999999
Elvis Presley (Rock),Fleetwood Mac (Rock),11.017100000000001
AC/DC (Rock),Nirvana (Rock),11.027000000000001
A.R. Rahman (Films/Games),Zion & Lennox (Films/Games),11.0378
Billy Joel (Rock),Bon Jovi (Rock),11.050899999999999
Ariana Grande (Pop),Jennifer Lopez (Pop),11.0594
The Chainsmokers (Dance),Whitney Houston (Dance),11.1064
Ellie Goulding (Pop),Nelly Furtado (Pop),11.1272
Jennifer Lopez (Pop),Pink Floyd (Pop),11.1557
Flo Rida (Dance),Whitney Houston (Dance),11.165799999999999
Metallica (Rock),The Cranberries (Rock),11.168999999999999
Mac DeMarco (Alternative),Rex Orange County (Alternative),11.176200000000001
David Bowie (Rock),Metallica (Rock),11.2072
Billy Joel (Pop),The Beatles (Pop),11.244100000000001
Billy Joel (Pop),Wisin & Yandel (Pop),11.250899999999998
Elvis Presley (Pop),Prince (Pop),11.2539
Elton John (Rock),Metallica (Rock),11.273
De La Soul (Rap/Hip Hop),Flo Rida (Rap/Hip Hop),11.2889
Jennifer Lopez (Pop),The Beatles (Pop),11.349499999999999
Bon Jovi (Rock),Lynyrd Skynyrd (Rock),11.353700000000002
Demi Lovato (Pop),Ellie Goulding (Pop),11.3546
Anu Malik (Pop),Britney Spears (Pop),11.3634
Anu Malik (Pop),The Beatles (Pop),11.3908
Aerosmith (Rock),The Rolling Stones (Rock),11.4293
Britney Spears (Pop),Enrique Iglesias (Pop),11.4501
Aerosmith (Rock),Elton John (Rock),11.4572
Bee Gees (Pop),Elvis Presley (Pop),11.463300000000002
Fleetwood Mac (Rock),Tears For Fears (Rock),11.4663
Prince (Pop),The Beatles (Pop),11.469600000000002
Billy Joel (Pop),Elton John (Pop),11.482099999999999
Bon Jovi (Rock),Nirvana (Rock),11.5185
Anu Malik (Pop),Bee Gees (Pop),11.6042
Amy Winehouse (Pop),Anu Malik (Pop),11.608500000000003
Bryan Adams (Rock),Nirvana (Rock),11.612400000000001
5 Seconds of Summer (Pop),Jennifer Lopez (Pop),11.623800000000001
Annie Lennox (Pop),Enrique Iglesias (Pop),11.6298
Bruce Springsteen (Rock),The Cranberries (Rock),11.6528
Jennifer Lopez (Pop),Wisin & Yandel (Pop),11.696100000000001
Bruce Springsteen (Rock),Elvis Presley (Rock),11.712799999999998
Nirvana (Rock),The Cranberries (Rock),11.7278
Aerosmith (Rock),David Bowie (Rock),11.7714
Demi Lovato (Pop),Gwen Stefani (Pop),11.7782
Elton John (Pop),Wisin & Yandel (Pop),11.7838
Britney Spears (Pop),The Beatles (Pop),11.833200000000001
Eagles (Pop),Nelly Furtado (Pop),11.876399999999999
Foreigner (Pop),The Beatles (Pop),11.961199999999998
Elvis Presley (Rock),Nirvana (Rock),11.9664
